y,t
7,37.369140625
12.125,37.37109375
16.5,37.373046875
5.375,37.375
32.25,37.376953125
32.25,37.37890625
-34.125,37.380859375
-37.125,37.3828125
7.125,37.384765625
18.625,37.38671875
-9,37.388671875
-7.375,37.390625
36.5,37.392578125
10.625,37.39453125
-2.375,37.396484375
9.5,37.3984375
-19.5,37.400390625
-15.25,37.40234375
-6.75,37.404296875
-1.625,37.40625
17.875,37.408203125
1.5,37.41015625
-14.5,37.412109375
-10.375,37.4140625
-0.25,37.416015625
27.5,37.41796875
-4.375,37.419921875
-20,37.421875
6,37.423828125
3.5,37.42578125
-5,37.427734375
-3.625,37.4296875
6.375,37.431640625
3.75,37.43359375
-5,37.435546875
-16,37.4375
10.625,37.439453125
19,37.44140625
-23.125,37.443359375
-11.125,37.4453125
-12.875,37.447265625
-18.25,37.44921875
21.625,37.451171875
17.125,37.453125
9.625,37.455078125
21.625,37.45703125
-9.25,37.458984375
-22,37.4609375
7.125,37.462890625
19.75,37.46484375
1.875,37.466796875
6,37.46875
40.25,37.470703125
26.375,37.47265625
4.875,37.474609375
-3.875,37.4765625
-11,37.478515625
-7.25,37.48046875
16,37.482421875
23.125,37.484375
-17.625,37.486328125
-27,37.48828125
-6.375,37.490234375
10.625,37.4921875
-2.125,37.494140625
-10.875,37.49609375
1.875,37.498046875
-12.75,37.5
-12,37.501953125
14.75,37.50390625
18.75,37.505859375
5.25,37.5078125
5.375,37.509765625
16.375,37.51171875
16.375,37.513671875
-0.125,37.515625
3,37.517578125
12.625,37.51953125
4.625,37.521484375
10.375,37.5234375
21.375,37.525390625
5.125,37.52734375
5.875,37.529296875
19.5,37.53125
-4.5,37.533203125
-7.25,37.53515625
4,37.537109375
-1.75,37.5390625
8.875,37.541015625
28.5,37.54296875
22.25,37.544921875
17.25,37.546875
17.75,37.548828125
9.125,37.55078125
22.625,37.552734375
24.5,37.5546875
8.125,37.556640625
23.25,37.55859375
42.875,37.560546875
28.625,37.5625
32.25,37.564453125
40.75,37.56640625
34.625,37.568359375
54,37.5703125
65.75,37.572265625
56.375,37.57421875
47.125,37.576171875
43.25,37.578125
47,37.580078125
52.875,37.58203125
60.875,37.583984375
62.125,37.5859375
51,37.587890625
53.375,37.58984375
76.125,37.591796875
65.875,37.59375
49.625,37.595703125
72.875,37.59765625
80,37.599609375
59.625,37.6015625
44.25,37.603515625
55.625,37.60546875
61,37.607421875
58.875,37.609375
57.75,37.611328125
44.25,37.61328125
43,37.615234375
34.875,37.6171875
24.375,37.619140625
15.875,37.62109375
21.125,37.623046875
41.875,37.625
48.625,37.626953125
36.625,37.62890625
31.625,37.630859375
47,37.6328125
50.25,37.634765625
41.625,37.63671875
36.25,37.638671875
45.75,37.640625
51.875,37.642578125
48.375,37.64453125
47.875,37.646484375
34.5,37.6484375
23.75,37.650390625
30.125,37.65234375
30,37.654296875
24.625,37.65625
34.125,37.658203125
38.125,37.66015625
28.625,37.662109375
34.875,37.6640625
40.5,37.666015625
34.875,37.66796875
35,37.669921875
36.25,37.671875
33,37.673828125
27.875,37.67578125
25.75,37.677734375
18.25,37.6796875
10.625,37.681640625
13.75,37.68359375
11,37.685546875
11.25,37.6875
21.375,37.689453125
23.75,37.69140625
20.875,37.693359375
24.875,37.6953125
24.125,37.697265625
16.625,37.69921875
15.75,37.701171875
24.125,37.703125
26.25,37.705078125
16.125,37.70703125
11.875,37.708984375
12.75,37.7109375
18.875,37.712890625
27,37.71484375
23.5,37.716796875
20,37.71875
21.125,37.720703125
26.375,37.72265625
31,37.724609375
26.5,37.7265625
28.875,37.728515625
32.625,37.73046875
26,37.732421875
18.125,37.734375
18.375,37.736328125
24.875,37.73828125
24.875,37.740234375
22.875,37.7421875
25.875,37.744140625
23.375,37.74609375
15,37.748046875
16.375,37.75
21.375,37.751953125
17.5,37.75390625
13,37.755859375
23.125,37.7578125
18.375,37.759765625
5,37.76171875
21.625,37.763671875
30.125,37.765625
25.75,37.767578125
30.75,37.76953125
36.375,37.771484375
29.625,37.7734375
21.25,37.775390625
21.375,37.77734375
22.625,37.779296875
25.375,37.78125
20.625,37.783203125
15.5,37.78515625
22.625,37.787109375
30.625,37.7890625
19.75,37.791015625
12.75,37.79296875
25.625,37.794921875
27,37.796875
16.25,37.798828125
11.625,37.80078125
11.75,37.802734375
11.5,37.8046875
15.75,37.806640625
9,37.80859375
7.75,37.810546875
26.875,37.8125
23.25,37.814453125
7,37.81640625
10.75,37.818359375
16.25,37.8203125
10.875,37.822265625
8.375,37.82421875
3.875,37.826171875
4.875,37.828125
15.625,37.830078125
13.25,37.83203125
9,37.833984375
11.25,37.8359375
10.625,37.837890625
9.625,37.83984375
10,37.841796875
10,37.84375
12.25,37.845703125
11.75,37.84765625
8.75,37.849609375
4.25,37.8515625
0.75,37.853515625
7.375,37.85546875
9,37.857421875
6.75,37.859375
19.875,37.861328125
26.75,37.86328125
20.75,37.865234375
15.5,37.8671875
8.5,37.869140625
8.375,37.87109375
5.125,37.873046875
-5.75,37.875
-3.125,37.876953125
-0.75,37.87890625
1.375,37.880859375
8.75,37.8828125
13.75,37.884765625
18.625,37.88671875
14.25,37.888671875
7.5,37.890625
10.625,37.892578125
19.375,37.89453125
27.625,37.896484375
25.375,37.8984375
15.875,37.900390625
15.75,37.90234375
22.875,37.904296875
14,37.90625
6.25,37.908203125
23.5,37.91015625
36.375,37.912109375
40.25,37.9140625
34.5,37.916015625
30.125,37.91796875
34,37.919921875
39.125,37.921875
55.375,37.923828125
60.875,37.92578125
47,37.927734375
43.75,37.9296875
51.25,37.931640625
63.25,37.93359375
71,37.935546875
66.875,37.9375
